time,steer,accel,brake,gear,speedX,trackPos,angle,rpm,damage
0.003,0.000,0.150,0.000,1,-0.01,0.333,0.008,5258,0.0
0.030,0.000,0.277,0.000,1,-0.01,0.333,0.008,5300,0.0
0.056,0.000,0.386,0.000,1,-0.01,0.333,0.008,5358,0.0
0.058,0.000,0.478,0.000,1,-0.01,0.333,0.008,5431,0.0
0.088,0.000,0.556,0.000,1,-0.01,0.333,0.008,5517,0.0
0.120,0.000,0.623,0.000,1,-0.01,0.333,0.008,5616,0.0
0.122,0.000,0.679,0.000,1,-0.01,0.333,0.008,5726,0.0
0.148,0.000,0.728,0.000,1,-0.01,0.333,0.008,5846,0.0
0.174,0.000,0.768,0.000,1,-0.01,0.333,0.008,5975,0.0
0.176,0.000,0.803,0.000,1,-0.01,0.333,0.008,6114,0.0
0.203,0.000,0.833,0.000,1,-0.01,0.333,0.008,6262,0.0
0.229,0.000,0.858,0.000,1,-0.01,0.333,0.008,6419,0.0
0.255,0.000,0.879,0.000,1,-0.01,0.333,0.008,6584,0.0
0.257,0.000,0.897,0.000,1,-0.01,0.333,0.008,6757,0.0
0.283,0.000,0.913,0.000,1,-0.01,0.333,0.008,6938,0.0
0.309,0.000,0.926,0.000,1,-0.01,0.333,0.008,7127,0.0
0.336,0.000,0.937,0.000,2,-0.01,0.333,0.008,7324,0.0
0.338,0.000,0.946,0.000,2,-0.01,0.333,0.008,7529,0.0
0.364,0.000,0.954,0.000,2,-0.01,0.333,0.008,7742,0.0
0.390,0.000,0.961,0.000,2,-0.01,0.333,0.008,7964,0.0
0.417,0.000,0.967,0.000,2,-0.01,0.333,0.008,8193,0.0
0.419,0.000,0.972,0.000,2,-0.01,0.333,0.008,8431,0.0
0.446,0.000,0.976,0.000,2,-0.01,0.333,0.008,8677,0.0
0.472,0.000,0.980,0.000,2,-0.01,0.333,0.008,8932,0.0
0.498,0.000,0.983,0.000,2,-0.01,0.333,0.008,9196,0.0
0.500,0.000,0.985,0.000,2,-0.01,0.333,0.008,9469,0.0
0.527,0.000,0.988,0.000,2,-0.01,0.333,0.008,9746,0.0
0.553,0.000,0.989,0.000,2,-0.01,0.333,0.008,10023,0.0
0.579,0.000,0.991,0.000,2,-0.01,0.333,0.008,10301,0.0
0.581,0.000,0.992,0.000,2,-0.01,0.333,0.008,10579,0.0
0.607,0.000,0.994,0.000,2,-0.01,0.333,0.008,10858,0.0
0.636,0.000,0.994,0.000,2,-0.01,0.333,0.008,11137,0.0
0.638,0.000,0.995,0.000,2,-0.01,0.333,0.008,11416,0.0
0.670,0.000,0.996,0.000,2,-0.01,0.333,0.008,11695,0.0
0.696,0.000,0.997,0.000,2,-0.01,0.333,0.008,11975,0.0
0.698,0.000,0.997,0.000,2,-0.01,0.333,0.008,12255,0.0
0.725,0.000,0.998,0.000,2,-0.01,0.333,0.008,12535,0.0
0.753,0.000,0.998,0.000,2,-0.01,0.333,0.008,12815,0.0
0.780,0.000,0.998,0.000,2,-0.01,0.333,0.008,13096,0.0
0.781,0.000,0.998,0.000,2,-0.01,0.333,0.008,13379,0.0
0.808,0.000,0.999,0.000,2,-0.01,0.333,0.008,13663,0.0
0.837,0.000,0.999,0.000,2,-0.01,0.333,0.008,13948,0.0
0.839,0.000,0.999,0.000,2,-0.01,0.333,0.008,14234,0.0
0.870,0.000,0.999,0.000,2,-0.01,0.333,0.008,14522,0.0
0.896,0.000,0.999,0.000,2,-0.01,0.333,0.008,14810,0.0
0.898,0.000,0.999,0.000,2,-0.01,0.333,0.008,15100,0.0
0.925,0.000,1.000,0.000,2,-0.01,0.333,0.008,15391,0.0
0.953,0.000,1.000,0.000,2,-0.01,0.333,0.008,15683,0.0
0.981,0.000,1.000,0.000,2,-0.02,0.333,0.009,16271,0.0
1.010,0.000,1.000,0.000,2,0.18,0.333,0.009,5249,0.0
1.037,0.000,1.000,0.000,2,0.15,0.333,0.009,5264,0.0
1.040,0.000,1.000,0.000,2,0.13,0.333,0.009,5236,0.0
1.071,0.000,1.000,0.000,2,0.76,0.333,0.009,5236,0.0
1.103,0.000,0.850,0.000,2,1.44,0.333,0.009,5236,0.0
1.106,0.000,0.872,0.000,2,1.88,0.333,0.009,5236,0.0
1.137,0.000,0.742,0.000,2,2.44,0.333,0.009,5236,0.0
1.140,0.000,0.780,0.000,2,2.96,0.333,0.009,5236,0.0
1.171,0.000,0.813,0.000,2,3.49,0.333,0.009,5236,0.0
1.203,0.000,0.841,0.000,2,4.05,0.333,0.009,5236,0.0
1.206,0.000,0.865,0.000,2,4.66,0.333,0.009,5236,0.0
1.237,0.000,0.885,0.000,2,5.33,0.333,0.009,5236,0.0
1.240,0.000,0.903,0.000,2,5.89,0.333,0.009,5236,0.0
1.271,0.000,0.917,0.000,2,6.47,0.333,0.009,5236,0.0
1.303,0.000,0.930,0.000,2,7.07,0.333,0.009,5236,0.0
1.306,0.000,0.940,0.000,2,7.71,0.333,0.009,5236,0.0
1.337,0.000,0.949,0.000,2,8.35,0.333,0.009,5236,0.0
1.340,0.000,0.957,0.000,2,9.00,0.333,0.009,5236,0.0
1.368,0.000,0.963,0.000,2,9.64,0.333,0.009,5236,0.0
1.396,0.000,0.969,0.000,2,10.28,0.333,0.009,5236,0.0
1.423,0.000,0.973,0.000,2,10.91,0.333,0.009,5236,0.0
1.426,0.000,0.977,0.000,2,11.54,0.333,0.009,5236,0.0
1.454,0.000,0.981,0.000,2,12.18,0.332,0.009,5236,0.0
